Date	Visitor_Days
Jan-09	124304.0805
Feb-09	164080.4559
Mar-09	175881.9888
Apr-09	251062.6919
May-09	337197.7145
Jun-09	359671.6015
Jul-09	458562.3952
Aug-09	478221.7811
Sep-09	324373.0996
Oct-09	251710.6757
Nov-09	108331.9579
Dec-09	123057.2158
Jan-10	129130.9507
Feb-10	159741.009
Mar-10	166305.954
Apr-10	275922.3859
May-10	338530.3175
Jun-10	429838.2882
Jul-10	484150.6917
Aug-10	498755.7344
Sep-10	344676.5018
Oct-10	277923.5949
Nov-10	115071.9077
Dec-10	112686.7297
Jan-11	157808.3884
Feb-11	188313.3687
Mar-11	203680.9648
Apr-11	291266.4067
May-11	338005.8407
Jun-11	381837.5129
Jul-11	507077.0509
Aug-11	495180.0554
Sep-11	339994.8552
Oct-11	268071.1886
Nov-11	124947.1577
Dec-11	123883.8845
Jan-12	132556.4573
Feb-12	166150.1239
Mar-12	212888.7667
Apr-12	273853.1588
May-12	331794.4377
Jun-12	407326.7741
Jul-12	462955.9411
Aug-12	465115.399
Sep-12	339812.3648
Oct-12	231119.12
Nov-12	123110.2285
Dec-12	137849.8412
Jan-13	153964.3099
Feb-13	160560.9866
Mar-13	239466.8875
Apr-13	257575.9686
May-13	373613.3701
Jun-13	395246.9418
Jul-13	499591.8379
Aug-13	512302.7396
Sep-13	344726.314
Oct-13	264049.3744
Nov-13	129531.4006
Dec-13	108978.381
Jan-14	169178.8511
Feb-14	201276.5886
Mar-14	199979.5897
Apr-14	331756.8614
May-14	397117.0333
Jun-14	411263.5313
Jul-14	524963.2511
Aug-14	570400.2109
Sep-14	340878.2139
Oct-14	307929.3185
Nov-14	137407.5891
Dec-14	150383.5589
