X	Y	flickr	survey	popcount
469893.65015872	1241311.99149234	0.00000000	1.00000000	0.00000000
479893.65015872	1241311.99149234	0.00000000	1.00000000	0.00000000
439893.65015872	1231311.99149234	0.00000000	1.00000000	0.00000000
449893.65015872	1231311.99149234	0.00000000	1.00000000	0.00000000
459893.65015872	1231311.99149234	0.00000000	1.00000000	0.00000000
469893.65015872	1231311.99149234	0.00000000	1.00000000	0.00000000
479893.65015872	1231311.99149234	0.00000000	1.00000000	0.00000000
429893.65015872	1221311.99149234	0.00000000	1.00000000	0.00000000
439893.65015872	1221311.99149234	0.00000000	2.00000000	0.00000000
449893.65015872	1221311.99149234	0.00000000	2.00000000	0.00000000
459893.65015872	1221311.99149234	3.00000000	5.00000000	13.00816154
469893.65015872	1221311.99149234	0.00000000	2.00000000	0.07951947
479893.65015872	1221311.99149234	0.00000000	2.00000000	0.00000000
429893.65015872	1211311.99149234	0.00000000	2.00000000	0.00000000
439893.65015872	1211311.99149234	0.00000000	2.00000000	0.00000000
449893.65015872	1211311.99149234	0.00000000	3.00000000	0.00000000
459893.65015872	1211311.99149234	3.00000000	3.00000000	315.51928711
469893.65015872	1211311.99149234	1.00000000	2.00000000	16.52434921
479893.65015872	1211311.99149234	0.00000000	2.00000000	0.00000000
419893.65015872	1201311.99149234	0.00000000	2.00000000	0.00000000
429893.65015872	1201311.99149234	0.00000000	2.00000000	0.00000000
439893.65015872	1201311.99149234	0.00000000	3.00000000	0.00000000
449893.65015872	1201311.99149234	1.00000000	6.00000000	174.65469360
459893.65015872	1201311.99149234	0.00000000	6.00000000	312.02200317
469893.65015872	1201311.99149234	0.00000000	2.00000000	1.84993851
479893.65015872	1201311.99149234	0.00000000	2.00000000	0.00000000
409893.65015872	1191311.99149234	0.00000000	1.00000000	0.00000000
419893.65015872	1191311.99149234	0.00000000	2.00000000	2.74320865
429893.65015872	1191311.99149234	0.00000000	3.00000000	111.62567902
439893.65015872	1191311.99149234	0.00000000	4.00000000	394.38983154
449893.65015872	1191311.99149234	0.00000000	3.00000000	388.98599243
459893.65015872	1191311.99149234	1.00000000	4.00000000	151.10708618
469893.65015872	1191311.99149234	2.00000000	3.00000000	56.09760284
479893.65015872	1191311.99149234	0.00000000	1.00000000	0.00000000
409893.65015872	1181311.99149234	0.00000000	2.00000000	0.00000000
419893.65015872	1181311.99149234	3.00000000	3.00000000	60.23220062
429893.65015872	1181311.99149234	1.00000000	5.00000000	229.45292664
439893.65015872	1181311.99149234	0.00000000	3.00000000	597.66351318
449893.65015872	1181311.99149234	0.00000000	4.00000000	207.32673645
459893.65015872	1181311.99149234	0.00000000	3.00000000	0.00000000
469893.65015872	1181311.99149234	0.00000000	2.00000000	0.00000000
479893.65015872	1181311.99149234	0.00000000	1.00000000	0.00000000
399893.65015872	1171311.99149234	0.00000000	1.00000000	0.00000000
409893.65015872	1171311.99149234	0.00000000	2.00000000	0.26875624
419893.65015872	1171311.99149234	0.00000000	2.00000000	0.00000000
429893.65015872	1171311.99149234	0.00000000	3.00000000	105.21645355
439893.65015872	1171311.99149234	0.00000000	3.00000000	799.93572998
449893.65015872	1171311.99149234	0.00000000	4.00000000	181.39433289
459893.65015872	1171311.99149234	1.00000000	3.00000000	99.93654633
469893.65015872	1171311.99149234	0.00000000	2.00000000	130.78900146
389893.65015872	1161311.99149234	0.00000000	1.00000000	0.00000000
399893.65015872	1161311.99149234	0.00000000	1.00000000	0.00000000
409893.65015872	1161311.99149234	0.00000000	3.00000000	0.48127955
419893.65015872	1161311.99149234	1.00000000	3.00000000	114.40773010
429893.65015872	1161311.99149234	1.00000000	2.00000000	218.72924805
439893.65015872	1161311.99149234	2.00000000	4.00000000	625.77038574
449893.65015872	1161311.99149234	1.00000000	4.00000000	837.14703369
459893.65015872	1161311.99149234	0.00000000	3.00000000	579.95825195
469893.65015872	1161311.99149234	0.00000000	2.00000000	0.00000000
379893.65015872	1151311.99149234	0.00000000	1.00000000	0.00000000
389893.65015872	1151311.99149234	0.00000000	1.00000000	0.00000000
399893.65015872	1151311.99149234	0.00000000	2.00000000	0.00000000
409893.65015872	1151311.99149234	0.00000000	2.00000000	0.00000000
419893.65015872	1151311.99149234	1.00000000	2.00000000	404.79968262
429893.65015872	1151311.99149234	6.00000000	2.00000000	481.88470459
439893.65015872	1151311.99149234	1.00000000	4.00000000	610.48803711
449893.65015872	1151311.99149234	0.00000000	5.00000000	261.47442627
459893.65015872	1151311.99149234	0.00000000	4.00000000	0.00000000
469893.65015872	1151311.99149234	0.00000000	1.00000000	0.00000000
369893.65015872	1141311.99149234	0.00000000	1.00000000	0.00000000
379893.65015872	1141311.99149234	0.00000000	1.00000000	0.00000000
389893.65015872	1141311.99149234	0.00000000	1.00000000	25.34776878
399893.65015872	1141311.99149234	2.00000000	1.00000000	44.33813095
409893.65015872	1141311.99149234	0.00000000	1.00000000	0.00000000
419893.65015872	1141311.99149234	0.00000000	1.00000000	23.45429420
429893.65015872	1141311.99149234	2.00000000	2.00000000	222.58079529
439893.65015872	1141311.99149234	0.00000000	4.00000000	1419.85278320
449893.65015872	1141311.99149234	20.00000000	9.00000000	7013.27148438
459893.65015872	1141311.99149234	4.00000000	6.00000000	0.00000000
469893.65015872	1141311.99149234	0.00000000	1.00000000	0.00000000
369893.65015872	1131311.99149234	0.00000000	1.00000000	0.00000000
379893.65015872	1131311.99149234	0.00000000	1.00000000	0.00000000
389893.65015872	1131311.99149234	0.00000000	1.00000000	0.93370032
399893.65015872	1131311.99149234	0.00000000	1.00000000	12.30625057
409893.65015872	1131311.99149234	0.00000000	1.00000000	0.00000000
419893.65015872	1131311.99149234	0.00000000	1.00000000	0.00000000
429893.65015872	1131311.99149234	0.00000000	3.00000000	9.34845924
439893.65015872	1131311.99149234	4.00000000	4.00000000	2991.84277344
449893.65015872	1131311.99149234	0.00000000	4.00000000	265.93218994
459893.65015872	1131311.99149234	0.00000000	3.00000000	0.00000000
469893.65015872	1131311.99149234	0.00000000	1.00000000	0.00000000
379893.65015872	1121311.99149234	0.00000000	1.00000000	0.00000000
389893.65015872	1121311.99149234	0.00000000	1.00000000	0.00000000
399893.65015872	1121311.99149234	0.00000000	1.00000000	0.00000000
409893.65015872	1121311.99149234	0.00000000	1.00000000	0.00000000
419893.65015872	1121311.99149234	0.00000000	1.00000000	0.00000000
429893.65015872	1121311.99149234	0.00000000	3.00000000	0.05564323
439893.65015872	1121311.99149234	25.00000000	4.00000000	1054.75671387
449893.65015872	1121311.99149234	3.00000000	5.00000000	40.75891495
459893.65015872	1121311.99149234	0.00000000	2.00000000	0.00000000
409893.65015872	1111311.99149234	0.00000000	1.00000000	0.00000000
419893.65015872	1111311.99149234	0.00000000	1.00000000	0.00000000
429893.65015872	1111311.99149234	0.00000000	3.00000000	44.91887665
439893.65015872	1111311.99149234	17.00000000	9.00000000	501.33560181
449893.65015872	1111311.99149234	0.00000000	3.00000000	0.00000000
459893.65015872	1111311.99149234	0.00000000	1.00000000	0.00000000
419893.65015872	1101311.99149234	0.00000000	1.00000000	0.00000000
429893.65015872	1101311.99149234	0.00000000	1.00000000	0.00000000
439893.65015872	1101311.99149234	0.00000000	2.00000000	0.00000000
449893.65015872	1101311.99149234	0.00000000	3.00000000	0.00000000
459893.65015872	1101311.99149234	0.00000000	1.00000000	0.00000000
399893.65015872	1091311.99149234	0.00000000	1.00000000	0.00000000
409893.65015872	1091311.99149234	0.00000000	1.00000000	0.00000000
419893.65015872	1091311.99149234	0.00000000	1.00000000	0.00000000
429893.65015872	1091311.99149234	0.00000000	1.00000000	0.00000000
439893.65015872	1091311.99149234	0.00000000	1.00000000	0.00000000
449893.65015872	1091311.99149234	0.00000000	1.00000000	0.00000000
399893.65015872	1081311.99149234	0.00000000	1.00000000	0.00000000
409893.65015872	1081311.99149234	0.00000000	1.00000000	0.00000000
419893.65015872	1081311.99149234	0.00000000	2.00000000	0.00000000
429893.65015872	1081311.99149234	0.00000000	1.00000000	0.00000000
439893.65015872	1081311.99149234	0.00000000	1.00000000	0.00000000
449893.65015872	1081311.99149234	0.00000000	1.00000000	0.00000000
399893.65015872	1071311.99149234	0.00000000	1.00000000	0.00000000
409893.65015872	1071311.99149234	0.00000000	2.00000000	0.00000000
419893.65015872	1071311.99149234	41.00000000	3.00000000	183.00405884
429893.65015872	1071311.99149234	0.00000000	2.00000000	0.00000000
439893.65015872	1071311.99149234	0.00000000	1.00000000	0.00000000
449893.65015872	1071311.99149234	0.00000000	1.00000000	0.00000000
329893.65015872	1061311.99149234	0.00000000	1.00000000	0.00000000
339893.65015872	1061311.99149234	0.00000000	1.00000000	0.00000000
349893.65015872	1061311.99149234	0.00000000	1.00000000	9.98713875
359893.65015872	1061311.99149234	0.00000000	1.00000000	0.00000000
369893.65015872	1061311.99149234	0.00000000	1.00000000	0.00000000
379893.65015872	1061311.99149234	0.00000000	1.00000000	34.07177734
389893.65015872	1061311.99149234	0.00000000	1.00000000	0.00000000
399893.65015872	1061311.99149234	0.00000000	1.00000000	0.00000000
409893.65015872	1061311.99149234	0.00000000	1.00000000	0.00000000
419893.65015872	1061311.99149234	0.00000000	2.00000000	0.00000000
429893.65015872	1061311.99149234	0.00000000	2.00000000	0.00000000
439893.65015872	1061311.99149234	0.00000000	1.00000000	0.00000000
319893.65015872	1051311.99149234	0.00000000	1.00000000	0.00000000
329893.65015872	1051311.99149234	0.00000000	1.00000000	0.00000000
339893.65015872	1051311.99149234	3.00000000	1.00000000	175.25743103
349893.65015872	1051311.99149234	0.00000000	2.00000000	127.37620544
359893.65015872	1051311.99149234	0.00000000	2.00000000	0.00000000
369893.65015872	1051311.99149234	2.00000000	3.00000000	34.17147827
379893.65015872	1051311.99149234	5.00000000	3.00000000	73.82328796
389893.65015872	1051311.99149234	0.00000000	1.00000000	0.00000000
399893.65015872	1051311.99149234	0.00000000	1.00000000	0.00000000
409893.65015872	1051311.99149234	0.00000000	1.00000000	0.00000000
419893.65015872	1051311.99149234	0.00000000	1.00000000	0.00000000
429893.65015872	1051311.99149234	0.00000000	1.00000000	0.00000000
279893.65015872	1041311.99149234	0.00000000	1.00000000	0.00000000
319893.65015872	1041311.99149234	0.00000000	2.00000000	0.00000000
329893.65015872	1041311.99149234	0.00000000	2.00000000	0.00000000
339893.65015872	1041311.99149234	0.00000000	2.00000000	73.75505066
349893.65015872	1041311.99149234	1.00000000	2.00000000	131.93963623
359893.65015872	1041311.99149234	0.00000000	2.00000000	169.08161926
369893.65015872	1041311.99149234	0.00000000	3.00000000	320.24752808
379893.65015872	1041311.99149234	0.00000000	3.00000000	38.18066406
389893.65015872	1041311.99149234	0.00000000	1.00000000	0.00000000
269893.65015872	1031311.99149234	0.00000000	1.00000000	0.00000000
